City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Ancud,CL,-41.8697,-73.8203,51.01,100,90,3.44,1618445435
Yangi Marg`ilon,UZ,40.4272,71.7189,53.6,76,100,4.0,1618445435
Arraial do Cabo,BR,-22.9661,-42.0278,69.8,83,40,2.3,1618445436
Hilo,US,19.7297,-155.09,80.6,57,20,12.66,1618445782
Cheyenne,US,41.14,-104.8203,26.6,93,90,13.8,1618445637
Hirara,JP,24.8,125.2833,71.6,88,75,13.8,1618445783
San Quintín,MX,30.4833,-115.95,59.86,63,89,19.93,1618445783
Nikolskoye,RU,59.7035,30.7861,39.2,56,0,4.47,1618445783
Zhigansk,RU,66.7697,123.3711,19.85,90,100,9.1,1618445784
Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,13.8,1618445533
Pouébo,NC,-20.4,164.5667,77.22,88,92,5.26,1618445785
Saint George,US,37.1041,-113.5841,72.0,12,1,11.5,1618445785
Rikitea,PF,-23.1203,-134.9692,78.39,69,6,4.81,1618445785
Vaini,TO,-21.2,-175.2,80.6,74,40,8.05,1618445440
Bluff,NZ,-46.6,168.3333,60.01,77,51,3.0,1618445440
Dikson,RU,73.5069,80.5464,-21.3,100,100,5.97,1618445440
Lexington Park,US,38.2668,-76.4538,57.2,88,90,6.91,1618445441
Albany,US,42.6001,-73.9662,64.4,42,90,3.44,1618445197
Ushuaia,AR,-54.8,-68.3,42.8,61,40,4.61,1618445441
Kapaa,US,22.0752,-159.319,78.8,61,20,16.11,1618445442
Kalmunai,LK,7.4167,81.8167,77.81,85,99,7.96,1618445355
Maniitsoq,GL,65.4167,-52.9,22.46,89,88,19.82,1618445442
Puerto Ayora,EC,-0.7393,-90.3518,76.68,87,37,5.59,1618445443
Jamestown,US,42.097,-79.2353,46.4,46,1,5.75,1618445443
Punta Arenas,CL,-53.15,-70.9167,41.0,81,0,26.46,1618445443
Tataouine,TN,32.9297,10.4518,58.68,55,100,6.4,1618445444
Hobart,AU,-42.8794,147.3294,57.2,54,40,19.57,1618445444
Vestmannaeyjar,IS,63.4427,-20.2734,45.27,86,87,25.05,1618445444
Kavieng,PG,-2.5744,150.7967,84.0,66,43,6.11,1618445445
Dalvik,IS,65.9702,-18.5286,41.0,70,40,3.44,1618445445
Klaksvík,FO,62.2266,-6.589,44.6,100,40,10.36,1618445446
Vila Franca do Campo,PT,37.7167,-25.4333,57.2,82,20,3.44,1618445446
Monrovia,LR,6.3005,-10.7969,75.2,94,20,0.11,1618445336
Hambantota,LK,6.1241,81.1185,79.11,81,100,5.59,1618445170
Hamilton,US,39.1834,-84.5333,59.0,67,1,11.5,1618445428
Bilma,NE,18.6853,12.9164,83.01,8,0,10.09,1618445447
Niterói,BR,-22.8833,-43.1036,75.2,83,0,5.75,1618445447
Port Alfred,ZA,-33.5906,26.891,67.3,81,82,6.44,1618445447
Bethel,US,41.3712,-73.414,64.4,48,90,8.05,1618445412
